1, throttle, -1, -1
2, throttle, 510, 12:42:24.463
3, throttle, 511, 12:42:30.351
4, throttle, 5, 12:42:35.999
5, throttle, 4, 12:42:41.669
6, throttle, 5, 12:42:47.367
7, throttle, 6, 12:42:53.073
8, throttle, 15, 12:42:58.765
9, throttle, 10, 12:43:04.478
10, throttle, 11, 12:43:10.171
11, throttle, 6, 12:43:15.848
12, throttle, 10, 12:43:21.535
13, throttle, 4, 12:43:27.221
14, throttle, 6, 12:43:32.920
15, throttle, 4, 12:43:38.546
16, throttle, 7, 12:43:44.280
17, throttle, 3, 12:43:49.976
18, throttle, 290, 12:43:55.980
19, throttle, 464, 12:44:01.597
20, throttle, 523, 12:44:07.263
21, throttle, 521, 12:44:12.872
22, throttle, 521, 12:44:18.566
23, throttle, 584, 12:44:24.279
24, throttle, 3, 12:44:29.983
25, throttle, 5, 12:44:35.644
26, throttle, 7, 12:44:41.343
27, throttle, 2, 12:44:47.027
28, throttle, 6, 12:44:52.742
29, throttle, 6, 12:44:58.357
30, throttle, 6, 12:45:04.064
31, throttle, 7, 12:45:09.666
32, throttle, 10, 12:45:15.341
33, throttle, 3, 12:45:21.066
34, throttle, 11, 12:45:26.752
35, throttle, 10, 12:45:32.763
36, throttle, 6, 12:45:38.465
37, throttle, 7, 12:45:44.139
38, throttle, 6, 12:45:49.798
39, throttle, 5, 12:45:55.482
40, throttle, 1, 12:46:01.265
41, throttle, 1, 12:46:06.954
42, throttle, 5, 12:46:12.641
43, throttle, 9, 12:46:18.430
44, throttle, 175, 12:46:24.142
45, throttle, 362, 12:46:29.882
46, throttle, 566, 12:46:35.656
47, throttle, 488, 12:46:41.312
48, throttle, 387, 12:46:47.056
49, throttle, 260, 12:46:52.752
50, throttle, 13, 12:46:58.456
51, throttle, 6, 12:47:04.143
52, throttle, 9, 12:47:10.167
53, throttle, 3, 12:47:15.856
54, throttle, 12, 12:47:21.555
55, throttle, 8, 12:47:27.255
56, throttle, 6, 12:47:32.949
57, throttle, 0, 12:47:38.650
58, throttle, 6, 12:47:44.378
