1, throttle, -1, -1
2, throttle, -1, -1
3, throttle, 9, 17:50:51.500
4, throttle, 16, 17:50:51.960
5, throttle, 16, 17:50:52.419
6, throttle, 13, 17:50:52.864
7, throttle, 4, 17:50:53.316
8, throttle, 8, 17:50:53.767
9, throttle, 9, 17:50:54.216
10, throttle, 12, 17:50:54.664
11, throttle, 10, 17:50:55.085
12, throttle, 19, 17:50:55.525
13, throttle, 9, 17:50:56.014
14, throttle, 2, 17:50:56.739
15, throttle, 11, 17:50:57.186
16, throttle, 11, 17:50:57.637
17, throttle, 6, 17:50:58.118
18, throttle, 14, 17:50:58.578
19, throttle, 2, 17:50:58.996
20, throttle, 7, 17:50:59.420
21, throttle, 1, 17:50:59.885
22, throttle, 15, 17:51:00.343
23, throttle, 11, 17:51:00.802
24, throttle, 6, 17:51:01.491
25, throttle, 0, 17:51:01.934
26, throttle, 0, 17:51:02.619
27, throttle, 11, 17:51:03.016
28, throttle, 17, 17:51:03.427
29, throttle, 13, 17:51:03.870
30, throttle, 0, 17:51:04.314
31, throttle, 10, 17:51:04.755
32, throttle, 10, 17:51:05.192
33, throttle, 6, 17:51:05.659
34, throttle, 12, 17:51:06.103
35, throttle, 21, 17:51:06.553
36, throttle, 12, 17:51:06.990
37, throttle, 12, 17:51:07.434
38, throttle, 5, 17:51:07.998
39, throttle, 12, 17:51:08.666
40, throttle, 11, 17:51:09.102
41, throttle, 7, 17:51:09.549
42, throttle, 9, 17:51:09.987
43, throttle, 1, 17:51:10.435
44, throttle, 6, 17:51:10.864
45, throttle, 10, 17:51:11.303
46, throttle, 9, 17:51:11.871
47, throttle, 16, 17:51:12.331
48, throttle, 2, 17:51:12.768
49, throttle, 10, 17:51:13.208
50, throttle, 0, 17:51:13.656
51, throttle, 19, 17:51:14.287
52, throttle, 8, 17:51:14.734
53, throttle, 1, 17:51:15.177
54, throttle, 6, 17:51:15.610
55, throttle, 10, 17:51:16.054
56, throttle, 16, 17:51:16.502
57, throttle, 3, 17:51:16.946
58, throttle, 3, 17:51:17.386
59, throttle, 4, 17:51:17.822
60, throttle, 5, 17:51:18.267
61, throttle, 11, 17:51:18.709
62, throttle, 0, 17:51:19.150
63, throttle, 14, 17:51:19.598
64, throttle, 13, 17:51:20.252
65, throttle, 5, 17:51:20.696
66, throttle, 7, 17:51:21.142
67, throttle, 1, 17:51:21.578
68, throttle, 3, 17:51:22.153
69, throttle, 6, 17:51:22.707
70, throttle, 0, 17:51:23.154
71, throttle, 5, 17:51:23.599
72, throttle, 9, 17:51:24.029
73, throttle, 6, 17:51:24.461
74, throttle, 12, 17:51:24.906
75, throttle, 6, 17:51:25.344
76, throttle, 12, 17:51:25.998
77, throttle, 15, 17:51:26.398
78, throttle, 3, 17:51:26.826
79, throttle, 3, 17:51:27.296
80, throttle, 4, 17:51:27.748
81, throttle, 2, 17:51:28.199
82, throttle, 3, 17:51:28.635
83, throttle, 11, 17:51:29.074
84, throttle, 1, 17:51:29.541
85, throttle, 5, 17:51:29.974
86, throttle, 10, 17:51:30.485
87, throttle, 6, 17:51:30.976
88, throttle, 15, 17:51:31.417
89, throttle, 5, 17:51:32.764
90, throttle, 4, 17:51:33.210
91, throttle, 12, 17:51:33.663
92, throttle, 3, 17:51:34.113
93, throttle, 7, 17:51:34.577
94, throttle, 3, 17:51:35.016
95, throttle, 5, 17:51:35.474
96, throttle, 1, 17:51:35.930
97, throttle, 1, 17:51:36.436
98, throttle, 6, 17:51:36.881
99, throttle, 4, 17:51:37.330
100, throttle, 8, 17:51:37.776
101, throttle, 1, 17:51:38.385
102, throttle, 7, 17:51:38.831
103, throttle, 9, 17:51:39.276
104, throttle, 1, 17:51:39.831
105, throttle, 7, 17:51:40.273
106, throttle, 8, 17:51:40.728
107, throttle, 5, 17:51:41.193
108, throttle, 8, 17:51:41.633
109, throttle, 8, 17:51:42.073
110, throttle, 9, 17:51:42.507
111, throttle, 2, 17:51:43.078
112, throttle, 6, 17:51:43.525
113, throttle, 4, 17:51:43.963
