1, throttle, -1, -1
2, throttle, 11, 17:49:28.340
3, throttle, 1, 17:49:28.735
4, throttle, 2, 17:49:29.142
5, throttle, 4, 17:49:29.549
6, throttle, 0, 17:49:29.982
7, throttle, 1, 17:49:30.444
8, throttle, 15, 17:49:30.908
9, throttle, 15, 17:49:31.364
10, throttle, 12, 17:49:31.813
11, throttle, 8, 17:49:32.242
12, throttle, 11, 17:49:32.660
13, throttle, 0, 17:49:33.112
14, throttle, 9, 17:49:33.830
15, throttle, 13, 17:49:34.228
16, throttle, 0, 17:49:34.638
17, throttle, 6, 17:49:35.045
18, throttle, 11, 17:49:35.501
19, throttle, 10, 17:49:36.015
20, throttle, 8, 17:49:36.448
21, throttle, 9, 17:49:36.844
22, throttle, 1, 17:49:37.272
23, throttle, 8, 17:49:37.727
24, throttle, 0, 17:49:38.329
25, throttle, 15, 17:49:38.788
26, throttle, 8, 17:49:39.500
27, throttle, 0, 17:49:39.950
28, throttle, 0, 17:49:40.396
29, throttle, 0, 17:49:40.837
30, throttle, 4, 17:49:41.274
31, throttle, 7, 17:49:41.710
32, throttle, 12, 17:49:42.142
33, throttle, 6, 17:49:42.579
34, throttle, 6, 17:49:43.029
35, throttle, 1, 17:49:43.462
36, throttle, 7, 17:49:43.898
37, throttle, 9, 17:49:44.338
38, throttle, 7, 17:49:44.778
39, throttle, 1, 17:49:45.435
40, throttle, 2, 17:49:45.887
41, throttle, 9, 17:49:46.329
42, throttle, 6, 17:49:46.761
43, throttle, 8, 17:49:47.231
44, throttle, 0, 17:49:47.672
45, throttle, 11, 17:49:48.119
46, throttle, 13, 17:49:48.554
47, throttle, 7, 17:49:49.078
48, throttle, 12, 17:49:49.514
49, throttle, 7, 17:49:49.957
50, throttle, 7, 17:49:50.395
51, throttle, 6, 17:49:51.089
52, throttle, 0, 17:49:51.540
53, throttle, 0, 17:49:51.983
54, throttle, 16, 17:49:52.450
55, throttle, 7, 17:49:52.896
56, throttle, 2, 17:49:53.338
57, throttle, 2, 17:49:53.794
58, throttle, 8, 17:49:54.243
59, throttle, 11, 17:49:54.681
60, throttle, 4, 17:49:55.138
61, throttle, 5, 17:49:55.587
62, throttle, 7, 17:49:56.030
63, throttle, 11, 17:49:56.466
64, throttle, 7, 17:49:57.114
65, throttle, 0, 17:49:57.616
66, throttle, 3, 17:49:58.055
67, throttle, 5, 17:49:58.494
68, throttle, 8, 17:49:59.070
69, throttle, 7, 17:49:59.714
70, throttle, 9, 17:50:00.154
71, throttle, 7, 17:50:00.603
72, throttle, 13, 17:50:01.048
73, throttle, 4, 17:50:01.494
74, throttle, 10, 17:50:01.937
75, throttle, 8, 17:50:02.377
76, throttle, 0, 17:50:03.051
77, throttle, 5, 17:50:03.481
78, throttle, 5, 17:50:03.922
79, throttle, 9, 17:50:04.374
80, throttle, 2, 17:50:04.806
81, throttle, 2, 17:50:05.253
82, throttle, 6, 17:50:05.682
83, throttle, 8, 17:50:06.137
84, throttle, 9, 17:50:06.582
85, throttle, 0, 17:50:07.024
86, throttle, 13, 17:50:07.460
87, throttle, 11, 17:50:07.894
1, rpm, -1, -1
2, rpm, 51, 17:49:28.340
3, rpm, 51, 17:49:28.340
4, rpm, 51, 17:49:28.340
5, rpm, 51, 17:49:28.340
6, rpm, 51, 17:49:28.340
7, rpm, 51, 17:49:28.340
8, rpm, 51, 17:49:28.340
9, rpm, 51, 17:49:28.340
10, rpm, 51, 17:49:28.340
11, rpm, 51, 17:49:28.340
12, rpm, 51, 17:49:28.340
13, rpm, 51, 17:49:28.340
14, rpm, 51, 17:49:28.340
15, rpm, 51, 17:49:28.340
16, rpm, 51, 17:49:28.340
17, rpm, 51, 17:49:28.340
18, rpm, 51, 17:49:28.340
19, rpm, 51, 17:49:28.340
20, rpm, 51, 17:49:28.340
21, rpm, 51, 17:49:28.340
22, rpm, 51, 17:49:28.340
23, rpm, 51, 17:49:28.340
24, rpm, 51, 17:49:28.340
25, rpm, 51, 17:49:28.340
26, rpm, 51, 17:49:28.340
27, rpm, 51, 17:49:28.340
28, rpm, 2, 17:49:40.396
29, rpm, 2, 17:49:40.396
30, rpm, 34, 17:49:41.274
31, rpm, 34, 17:49:41.274
32, rpm, 31, 17:49:42.142
33, rpm, 31, 17:49:42.142
34, rpm, 28, 17:49:43.029
35, rpm, 28, 17:49:43.029
36, rpm, 28, 17:49:43.029
37, rpm, 25, 17:49:44.338
38, rpm, 25, 17:49:44.338
39, rpm, 32, 17:49:45.435
40, rpm, 44, 17:49:45.887
41, rpm, 44, 17:49:45.887
42, rpm, 42, 17:49:46.761
43, rpm, 39, 17:49:47.231
44, rpm, 39, 17:49:47.231
45, rpm, 37, 17:49:48.119
46, rpm, 37, 17:49:48.119
47, rpm, 34, 17:49:49.078
48, rpm, 34, 17:49:49.078
49, rpm, 31, 17:49:49.957
50, rpm, 31, 17:49:49.957
51, rpm, 28, 17:49:51.089
52, rpm, 28, 17:49:51.089
53, rpm, 25, 17:49:51.983
54, rpm, 25, 17:49:51.983
55, rpm, 25, 17:49:51.983
56, rpm, 22, 17:49:53.338
57, rpm, 22, 17:49:53.338
58, rpm, 22, 17:49:53.338
59, rpm, 22, 17:49:53.338
60, rpm, 17, 17:49:55.138
61, rpm, 17, 17:49:55.138
62, rpm, 17, 17:49:55.138
63, rpm, 17, 17:49:55.138
64, rpm, 17, 17:49:55.138
65, rpm, 12, 17:49:57.616
66, rpm, 12, 17:49:57.616
67, rpm, 12, 17:49:57.616
68, rpm, 12, 17:49:57.616
69, rpm, 12, 17:49:57.616
70, rpm, 12, 17:49:57.616
71, rpm, 12, 17:49:57.616
72, rpm, 12, 17:49:57.616
73, rpm, 12, 17:49:57.616
74, rpm, 12, 17:49:57.616
75, rpm, 12, 17:49:57.616
76, rpm, 12, 17:49:57.616
77, rpm, 12, 17:49:57.616
78, rpm, 12, 17:49:57.616
79, rpm, 12, 17:49:57.616
80, rpm, 12, 17:49:57.616
81, rpm, 12, 17:49:57.616
82, rpm, 12, 17:49:57.616
83, rpm, 12, 17:49:57.616
84, rpm, 12, 17:49:57.616
85, rpm, 12, 17:49:57.616
86, rpm, 12, 17:49:57.616
87, rpm, 12, 17:49:57.616
1, Current, -1, -1
2, Current, 4.19, 17:49:28.340
3, Current, 4.19, 17:49:28.340
4, Current, 4.19, 17:49:28.340
5, Current, 3.48, 17:49:29.549
6, Current, 3.35, 17:49:29.982
7, Current, 3.51, 17:49:30.444
8, Current, 3.35, 17:49:30.908
9, Current, 3.44, 17:49:31.364
10, Current, 3.51, 17:49:31.813
11, Current, 3.55, 17:49:32.242
12, Current, 3.47, 17:49:32.660
13, Current, 3.51, 17:49:33.112
14, Current, 3.55, 17:49:33.830
15, Current, 3.5, 17:49:34.228
16, Current, 3.55, 17:49:34.638
17, Current, 3.59, 17:49:35.045
18, Current, 3.35, 17:49:35.501
19, Current, 3.4, 17:49:36.015
