1, throttle, -1, -1
2, throttle, 4, 15:42:18.739
3, throttle, 4, 15:42:18.807
4, throttle, 4, 15:42:18.868
5, throttle, 4, 15:42:18.868
6, throttle, 4, 15:42:18.988
7, throttle, 4, 15:42:19.049
8, throttle, 4, 15:42:19.109
9, throttle, 4, 15:42:19.109
10, throttle, 4, 15:42:19.238
11, throttle, 4, 15:42:19.305
12, throttle, 4, 15:42:19.378
13, throttle, 4, 15:42:19.451
14, throttle, 4, 15:42:19.529
15, throttle, 4, 15:42:19.605
16, throttle, 4, 15:42:19.680
17, throttle, 4, 15:42:19.758
18, throttle, 4, 15:42:19.831
19, throttle, 4, 15:42:19.908
20, throttle, 4, 15:42:19.985
21, throttle, 4, 15:42:20.071
22, throttle, 4, 15:42:20.151
23, throttle, 4, 15:42:20.231
24, throttle, 4, 15:42:20.309
25, throttle, 4, 15:42:20.389
26, throttle, 4, 15:42:20.470
27, throttle, 4, 15:42:20.550
28, throttle, 4, 15:42:20.634
29, throttle, 4, 15:42:20.718
30, throttle, 4, 15:42:20.797
31, throttle, 4, 15:42:20.876
32, throttle, 4, 15:42:20.956
33, throttle, 4, 15:42:21.032
34, throttle, 4, 15:42:21.109
35, throttle, 4, 15:42:21.188
36, throttle, 4, 15:42:21.266
37, throttle, 4, 15:42:21.346
38, throttle, 4, 15:42:21.428
39, throttle, 4, 15:42:21.508
40, throttle, 4, 15:42:21.584
41, throttle, 4, 15:42:21.584
42, throttle, 4, 15:42:21.739
43, throttle, 4, 15:42:21.818
44, throttle, 4, 15:42:21.899
45, throttle, 4, 15:42:22.036
46, throttle, 4, 15:42:22.109
47, throttle, 4, 15:42:22.187
48, throttle, 4, 15:42:22.265
49, throttle, 4, 15:42:22.346
50, throttle, 4, 15:42:22.427
51, throttle, 4, 15:42:22.508
52, throttle, 4, 15:42:22.586
53, throttle, 4, 15:42:22.667
54, throttle, 4, 15:42:22.748
55, throttle, 4, 15:42:22.827
56, throttle, 4, 15:42:22.908
57, throttle, 4, 15:42:22.987
58, throttle, 4, 15:42:23.067
59, throttle, 4, 15:42:23.140
60, throttle, 4, 15:42:23.218
61, throttle, 4, 15:42:23.296
62, throttle, 4, 15:42:23.381
63, throttle, 4, 15:42:23.460
64, throttle, 4, 15:42:23.538
65, throttle, 4, 15:42:23.615
66, throttle, 4, 15:42:23.693
67, throttle, 4, 15:42:23.770
68, throttle, 4, 15:42:23.846
69, throttle, 4, 15:42:23.929
70, throttle, 4, 15:42:24.012
71, throttle, 4, 15:42:24.116
72, throttle, 4, 15:42:24.200
73, throttle, 4, 15:42:24.285
74, throttle, 4, 15:42:24.363
75, throttle, 4, 15:42:24.430
76, throttle, 4, 15:42:24.497
77, throttle, 4, 15:42:24.560
78, throttle, 4, 15:42:24.625
79, throttle, 4, 15:42:24.625
80, throttle, 4, 15:42:24.749
81, throttle, 4, 15:42:24.818
82, throttle, 4, 15:42:24.878
83, throttle, 4, 15:42:24.878
84, throttle, 4, 15:42:25.012
85, throttle, 4, 15:42:25.091
86, throttle, 4, 15:42:25.179
87, throttle, 4, 15:42:25.275
88, throttle, 4, 15:42:25.275
89, throttle, 4, 15:42:25.396
90, throttle, 4, 15:42:25.457
91, throttle, 4, 15:42:25.518
92, throttle, 4, 15:42:25.584
93, throttle, 4, 15:42:25.584
94, throttle, 4, 15:42:25.707
95, throttle, 4, 15:42:25.769
96, throttle, 4, 15:42:25.829
97, throttle, 4, 15:42:25.829
98, throttle, 4, 15:42:25.956
99, throttle, 4, 15:42:26.035
100, throttle, 4, 15:42:26.108
101, throttle, 4, 15:42:26.184
102, throttle, 4, 15:42:26.264
103, throttle, 4, 15:42:26.340
104, throttle, 4, 15:42:26.422
105, throttle, 4, 15:42:26.499
106, throttle, 4, 15:42:26.579
107, throttle, 4, 15:42:26.651
108, throttle, 4, 15:42:26.727
109, throttle, 4, 15:42:26.798
110, throttle, 4, 15:42:26.869
111, throttle, 4, 15:42:26.945
112, throttle, 4, 15:42:26.945
113, throttle, 4, 15:42:27.096
114, throttle, 4, 15:42:27.176
115, throttle, 4, 15:42:27.259
116, throttle, 4, 15:42:27.341
117, throttle, 4, 15:42:27.341
118, throttle, 4, 15:42:27.500
119, throttle, 4, 15:42:27.582
120, throttle, 4, 15:42:27.665
121, throttle, 4, 15:42:27.746
122, throttle, 4, 15:42:27.876
123, throttle, 4, 15:42:27.949
124, throttle, 4, 15:42:28.026
125, throttle, 4, 15:42:28.119
126, throttle, 4, 15:42:28.196
127, throttle, 4, 15:42:28.281
128, throttle, 4, 15:42:28.357
129, throttle, 4, 15:42:28.434
130, throttle, 4, 15:42:28.509
131, throttle, 4, 15:42:28.581
132, throttle, 4, 15:42:28.657
133, throttle, 4, 15:42:28.874
134, throttle, 4, 15:42:28.955
135, throttle, 4, 15:42:29.030
136, throttle, 4, 15:42:29.107
137, throttle, 4, 15:42:29.186
138, throttle, 4, 15:42:29.270
139, throttle, 4, 15:42:29.349
140, throttle, 4, 15:42:29.431
141, throttle, 4, 15:42:29.508
142, throttle, 4, 15:42:29.587
143, throttle, 4, 15:42:29.661
144, throttle, 4, 15:42:29.661
145, throttle, 4, 15:42:29.819
146, throttle, 4, 15:42:29.819
147, throttle, 4, 15:42:29.978
148, throttle, 4, 15:42:30.055
149, throttle, 4, 15:42:30.133
150, throttle, 4, 15:42:30.214
151, throttle, 4, 15:42:30.287
152, throttle, 4, 15:42:30.361
153, throttle, 4, 15:42:30.436
154, throttle, 4, 15:42:30.515
155, throttle, 4, 15:42:30.591
156, throttle, 4, 15:42:30.672
157, throttle, 4, 15:42:30.748
158, throttle, 4, 15:42:30.824
159, throttle, 4, 15:42:30.898
160, throttle, 4, 15:42:30.977
161, throttle, 4, 15:42:31.048
162, throttle, 4, 15:42:31.124
163, throttle, 4, 15:42:31.196
164, throttle, 4, 15:42:31.267
165, throttle, 4, 15:42:31.267
166, throttle, 4, 15:42:31.416
167, throttle, 4, 15:42:31.494
168, throttle, 4, 15:42:31.578
1, rpm, -1, -1
2, rpm, 15, 15:42:18.739
3, rpm, 15, 15:42:18.807
4, rpm, 15, 15:42:18.868
5, rpm, 15, 15:42:18.868
6, rpm, 15, 15:42:18.988
7, rpm, 15, 15:42:19.049
8, rpm, 15, 15:42:19.109
9, rpm, 15, 15:42:19.109
10, rpm, 15, 15:42:19.238
11, rpm, 15, 15:42:19.305
12, rpm, 15, 15:42:19.378
13, rpm, 15, 15:42:19.451
14, rpm, 15, 15:42:19.529
15, rpm, 15, 15:42:19.605
16, rpm, 15, 15:42:19.680
17, rpm, 15, 15:42:19.758
18, rpm, 15, 15:42:19.831
19, rpm, 15, 15:42:19.908
20, rpm, 15, 15:42:19.985
21, rpm, 15, 15:42:20.071
22, rpm, 15, 15:42:20.151
23, rpm, 15, 15:42:20.231
24, rpm, 15, 15:42:20.309
25, rpm, 15, 15:42:20.389
26, rpm, 15, 15:42:20.470
27, rpm, 15, 15:42:20.550
28, rpm, 15, 15:42:20.634
29, rpm, 15, 15:42:20.718
30, rpm, 15, 15:42:20.797
31, rpm, 15, 15:42:20.876
32, rpm, 15, 15:42:20.956
33, rpm, 15, 15:42:21.032
34, rpm, 15, 15:42:21.109
35, rpm, 15, 15:42:21.188
36, rpm, 15, 15:42:21.266
37, rpm, 15, 15:42:21.346
38, rpm, 15, 15:42:21.428
39, rpm, 15, 15:42:21.508
40, rpm, 15, 15:42:21.584
41, rpm, 15, 15:42:21.584
42, rpm, 15, 15:42:21.739
43, rpm, 15, 15:42:21.818
44, rpm, 15, 15:42:21.899
45, rpm, 15, 15:42:22.036
46, rpm, 15, 15:42:22.109
47, rpm, 15, 15:42:22.187
48, rpm, 15, 15:42:22.265
49, rpm, 15, 15:42:22.346
50, rpm, 15, 15:42:22.427
51, rpm, 15, 15:42:22.508
52, rpm, 15, 15:42:22.586
53, rpm, 15, 15:42:22.667
54, rpm, 15, 15:42:22.748
55, rpm, 15, 15:42:22.827
56, rpm, 15, 15:42:22.908
57, rpm, 15, 15:42:22.987
58, rpm, 15, 15:42:23.067
59, rpm, 15, 15:42:23.140
60, rpm, 15, 15:42:23.218
61, rpm, 15, 15:42:23.296
62, rpm, 15, 15:42:23.381
63, rpm, 15, 15:42:23.460
64, rpm, 15, 15:42:23.538
65, rpm, 15, 15:42:23.615
66, rpm, 15, 15:42:23.693
67, rpm, 15, 15:42:23.770
68, rpm, 15, 15:42:23.846
69, rpm, 15, 15:42:23.929
70, rpm, 15, 15:42:24.012
71, rpm, 15, 15:42:24.116
72, rpm, 15, 15:42:24.200
73, rpm, 15, 15:42:24.285
74, rpm, 15, 15:42:24.363
75, rpm, 15, 15:42:24.430
76, rpm, 15, 15:42:24.497
77, rpm, 15, 15:42:24.560
78, rpm, 15, 15:42:24.625
79, rpm, 15, 15:42:24.625
80, rpm, 15, 15:42:24.749
81, rpm, 15, 15:42:24.818
82, rpm, 15, 15:42:24.878
83, rpm, 15, 15:42:24.878
84, rpm, 15, 15:42:25.012
